#Genus	R1_A_D1	R1_A_D2	R1_B_D1	R1_B_D2	R1_C_D1	R1_C_D2	R2A_A_D1	R2A_A_D2	R2A_B_D1	R2A_B_D2	R2A_C_D1	R2A_C_D2	R2_A_D1	R2_A_D2	R2_B_D1	R2_B_D2	R2_C_D1	R2_C_D2	SF2_A_D1	SF2_A_D2	SF2_B_D1	SF2_B_D2	SF2_C_D1	SF2_C_D2
125ds10FA	0	0	0	0	0	0	0	25	78	22	47	2	0	0	0	0	0	0	0	0	0	0	0	0
4C0d-2CL	0	1	3	0	1	9	1	0	1	47	1	0	337	121	14	73	60	55	0	15	10	1	6	84
5bav_B12CL	0	0	0	0	0	0	3	1	11	937	72	310	0	0	0	0	0	0	27	39	51	52	65	93
A17	0	0	0	0	1	0	83	1087	350	221	783	215	1	0	1	0	0	2	1	2	6	3	6	2
A4bOR	0	0	0	1	0	0	4479	4199	6801	1246	5353	3989	0	0	1	2	0	0	83	115	125	128	603	76
ABY1_OD1PH	119	104	29	30	13	15	0	4	2	1	0	0	27	138	66	17	36	21	62	17	0	1	42	0
AKIW874FA	1	1	2	0	1	5	37	47	11	1	16	6	1	5	4	10	1	1	0	3	18	10	118	51
AT425_EubG1CL	0	0	0	0	0	0	0	1	1	3	0	1	0	0	0	0	0	0	27	26	147	142	180	44
Acetivibrio	78	77	92	116	45	52	0	1	0	34	1	2	96	85	32	90	15	64	25	164	744	604	533	755
AcetobacteraceaeFA	0	0	0	0	0	0	0	29	8	361	50	150	0	5	0	1	0	0	0	2	0	1	3	3
Acetohalobium	7	1	67	10	55	64	0	0	0	0	0	0	14	11	27	52	19	22	0	0	2	2	6	7
AcidimicrobialesOR	8	5	22	19	11	26	20	79	47	65	135	47	57	72	28	94	11	44	26	40	20	23	58	17
AcidithiobacillaceaeFA	0	0	0	0	0	0	63	36	2	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidobacteria-5CL	0	0	0	0	0	0	25	1059	884	209	272	4	0	0	0	0	0	0	0	1	1	0	1	1
AcidobacteriaPH	0	0	0	0	0	0	201	1238	960	8558	3055	2415	0	1	0	0	0	0	240	289	280	271	837	213
AcidobacteriaceaeFA	0	0	1	0	0	2	1	487	42	2989	751	795	0	0	1	2	1	0	0	1	1	1	5	1
