"","Guild","OTU"
"2515","CH4_H2","2515"
"2805","CH4_H2","2805"
"513","CH4_H2","513"
"936","CH4_H2","936"
"1042","CH4_H2","1042"
"1275","CH4_H2","1275"
"1346","CH4_H2","1346"
"1371","CH4_H2","1371"
"1454","CH4_H2","1454"
"2105","CH4_H2","2105"
"2146","CH4_H2","2146"
"2151","CH4_H2","2151"
"2353","CH4_H2","2353"
"2490","CH4_H2","2490"
"2499","CH4_H2","2499"
"2658","CH4_H2","2658"
"2744","CH4_H2","2744"
"2982","CH4_H2","2982"
"3017","CH4_H2","3017"
"3118","CH4_H2","3118"
"3141","CH4_H2","3141"
"3196","CH4_H2","3196"
"3264","CH4_H2","3264"
"3505","CH4_H2","3505"
"3584","CH4_H2","3584"
"3617","CH4_H2","3617"
"3678","CH4_H2","3678"
"3865","CH4_H2","3865"
"3925","CH4_H2","3925"
"4140","CH4_H2","4140"
"3628","CH4_H2","3628"
"3704","CH4_ac","3704"
"3626","CH4_ac","3626"
"611","CH4_ac","611"
"472","MOB_I","472"
"3217","MOB_I","3217"
"3212","MOB_I","3212"
"118","MOB_I","118"
"1779","MOB_I","1779"
"1592","MeOB","1592"
"230","AOA","230"
"577","AOA","577"
"434","AOB","434"
"652","AOB","652"
"260","NOB","260"
"2899","NOB","2899"
"3728","NOB","3728"
"2142","NOB","2142"
"2998","NOB","2998"
"2990","Anamx","2990"
"3350","Anamx","3350"
"4021","Anamx","4021"
"1973","Anamx","1973"
"2012","Anamx","2012"
"2710","Anamx","2710"
"2777","Anamx","2777"
"3008","Anamx","3008"
"3040","Anamx","3040"
"3090","Anamx","3090"
"3096","Anamx","3096"
"3238","Anamx","3238"
"3548","Anamx","3548"
"3607","Anamx","3607"
"3746","Anamx","3746"
"3860","Anamx","3860"
"3916","Anamx","3916"
"3920","Anamx","3920"
"3922","Anamx","3922"
"3943","Anamx","3943"
"4080","Anamx","4080"
"4165","Anamx","4165"
"2698","Anamx","2698"
"2800","Anamx","2800"
"3620","Anamx","3620"
"3963","Anamx","3963"
"1170","SOxB","1170"
"929","SOxB","929"
"3478","SOxB","3478"
"2678","SOxB","2678"
"332","SOxB","332"
"453","SOxB","453"
"1681","SOxB","1681"
"857","SOxB","857"
"1181","SOxB","1181"
"17791","SOxB","17791"
"4198","SOxB","4198"
"1033","SOxB","1033"
"319","SOxB","319"
"2305","SOxB","2305"
"2473","SOxB","2473"
"3077","SOxB","3077"
"638","SOxB","638"
"1688","SOxB","1688"
"3047","SRB_syn","3047"
"2169","SRB_syn","2169"
"3982","SRB_syn","3982"
"1401","SRB_syn","1401"
"1605","SRB_syn","1605"
"2603","SRB_syn","2603"
"3730","SRB_syn","3730"
"48","SRB_syn","48"
"132","SRB_syn","132"
"22","SRB_syn","22"
"26","SRB_syn","26"
"149","SRB_syn","149"
"168","SRB_syn","168"
"196","SRB_syn","196"
"348","SRB_syn","348"
"441","SRB_syn","441"
"512","SRB_syn","512"
"630","SRB_syn","630"
"827","SRB_syn","827"
"876","SRB_syn","876"
"879","SRB_syn","879"
"881","SRB_syn","881"
"1003","SRB_syn","1003"
"1018","SRB_syn","1018"
"1026","SRB_syn","1026"
"1075","SRB_syn","1075"
"1141","SRB_syn","1141"
"1171","SRB_syn","1171"
"1177","SRB_syn","1177"
"1197","SRB_syn","1197"
"1262","SRB_syn","1262"
"1274","SRB_syn","1274"
"1362","SRB_syn","1362"
"1376","SRB_syn","1376"
"1388","SRB_syn","1388"
"1526","SRB_syn","1526"
"1713","SRB_syn","1713"
"1748","SRB_syn","1748"
"1756","SRB_syn","1756"
"1764","SRB_syn","1764"
"1773","SRB_syn","1773"
"1939","SRB_syn","1939"
"1983","SRB_syn","1983"
"2077","SRB_syn","2077"
"2196","SRB_syn","2196"
"2208","SRB_syn","2208"
"2260","SRB_syn","2260"
"2283","SRB_syn","2283"
"2385","SRB_syn","2385"
"2409","SRB_syn","2409"
"2454","SRB_syn","2454"
"2474","SRB_syn","2474"
"2483","SRB_syn","2483"
"2494","SRB_syn","2494"
"2522","SRB_syn","2522"
"2534","SRB_syn","2534"
"2546","SRB_syn","2546"
"2663","SRB_syn","2663"
"2664","SRB_syn","2664"
"2675","SRB_syn","2675"
"2694","SRB_syn","2694"
"2717","SRB_syn","2717"
"2757","SRB_syn","2757"
"2818","SRB_syn","2818"
"2820","SRB_syn","2820"
"2873","SRB_syn","2873"
"2907","SRB_syn","2907"
"2943","SRB_syn","2943"
"2988","SRB_syn","2988"
"3031","SRB_syn","3031"
"3092","SRB_syn","3092"
"3214","SRB_syn","3214"
"3223","SRB_syn","3223"
"3226","SRB_syn","3226"
"3263","SRB_syn","3263"
"3266","SRB_syn","3266"
"3328","SRB_syn","3328"
"3351","SRB_syn","3351"
"3367","SRB_syn","3367"
"3538","SRB_syn","3538"
"3597","SRB_syn","3597"
"3606","SRB_syn","3606"
"3685","SRB_syn","3685"
"3760","SRB_syn","3760"
"3766","SRB_syn","3766"
"3881","SRB_syn","3881"
"4162","SRB_syn","4162"
"96","SRB_syn","96"
"122","SRB_syn","122"
"185","SRB_syn","185"
"229","SRB_syn","229"
"553","SRB_syn","553"
"570","SRB_syn","570"
"658","SRB_syn","658"
"1164","SRB_syn","1164"
"1233","SRB_syn","1233"
"1305","SRB_syn","1305"
