#OTU_ID	R2A_A_D1	R2A_A_D2	R2A_B_D1	R2A_B_D2	R2A_C_D1	R2A_C_D2	SF2_A_D1	SF2_A_D2	SF2_B_D1	SF2_B_D2	SF2_C_D1	SF2_C_D2	R1_A_D1	R1_A_D2	R1_B_D1	R1_B_D2	R1_C_D1	R1_C_D2	R2_A_D1	R2_A_D2	R2_B_D1	R2_B_D2	R2_C_D1	R2_C_D2
0	4.105167634	39.39483076	23.69309829	20.93857364	42.68101508	9.045735536	5.986652822	4.147815466	21.42778583	20.87770069	4.482478056	17.84224187	30931.22927	23804.14998	7301.471672	19917.84615	20008.75118	11306.75204	2362.097225	558.0068519	1977.156957	1624.729035	5312.459138	1197.860427
1	143.6808672	140.3440846	130.9701822	164.0188268	170.7240603	45.22867768	74.83316027	48.39118043	52.28379742	62.63310208	56.77805537	63.93470005	12323.52068	10502.17022	7873.910303	11586.12202	8178.172161	7805.802863	11074.01174	3041.621164	4428.774247	7739.124084	6166.247214	3761.01927
2	0	1.231088461	0.658141619	3.489762273	2.134050754	0	0	1.382605155	0.857111433	1.098826352	0	0	5.127856311	0.961473058	1.354884333	5.289983573	9.935818444	4.051354641	92.55370908	256.604307	438.1471556	219.1600337	464.0709961	1040.830745
3	806.9586664	177.2767384	205.3401852	45.36690955	66.15557338	27.13720661	128.7130357	23.50428764	21.42778583	34.06361692	44.82478056	50.55301864	14761.81635	13781.75482	6036.009705	8675.57306	12642.33539	6720.618584	1610.592749	793.1080046	5387.728818	1534.686541	11777.8313	978.8334353
4	1.759357558	51.70571538	59.23274573	52.34643409	66.15557338	45.22867768	5.986652822	15.20865671	17.14222866	25.2730061	12.70035449	26.76336281	14261.85036	9182.067706	6278.534	9941.995127	11663.65727	6276.127104	3406.292917	1621.696214	3409.616251	3155.451441	6974.739225	2491.658296
5	2069.004488	1091.975465	1157.671108	2449.813116	548.4510438	189.9604463	42571.08822	16576.05321	12920.95485	15879.13962	13740.2894	8747.159078	1.281964078	3.845892233	3.387210833	2.115993429	1.987163689	1.157529897	1.582114685	24.72862735	0.955609936	3.964134977	3.418570874	1.357605319
6	14.07486046	27.08394615	15.79539886	20.93857364	10.67025377	27.13720661	0	1.382605155	7.714002898	10.98826352	5.976637407	11.89482792	9800.615374	7711.9754	4930.424089	7605.938381	9456.911995	2770.547809	2294.066293	1098.452794	4248.641775	1827.466224	7177.289549	1571.20189
7	137.2298895	41.85700769	81.60956079	62.81572091	46.94911659	81.41161982	65.85318104	31.79991857	11.14244863	16.48239528	52.29557732	50.55301864	9940.349458	6070.74089	3770.643099	6617.76945	5034.479205	5991.374749	2798.760878	1243.957471	2943.756407	3257.952646	3896.316153	2550.940395
8	7.62388275	8.617619229	11.18840753	83.75429455	10.67025377	9.045735536	95.78644515	105.0779918	315.4170074	336.2408638	63.50177245	190.3172466	2.563928155	1.922946116	4.064653	9.521970432	10.92940029	223.9820351	35128.48341	3136.235042	226.4795548	2576.12143	16.23821165	2766.347106
9	1.759357558	3.693265384	0	3.489762273	0	0	0	0	1.714222866	0	0	4.460560468	33.33106602	7.691784466	14.2262855	11.63796386	34.77536455	3.472589692	1.582114685	7.884489878	10.51170929	6.229354963	17.09285437	2.262675532
10	377.6754224	11.07979615	23.03495667	6.979524546	4.268101508	45.22867768	17.95995847	2.76521031	6.856891465	6.592958114	14.19451384	11.89482792	8219.953666	9752.22123	3246.980305	3238.527943	3566.958821	2718.458964	2027.479969	504.2489663	2167.801139	1156.961108	2686.142064	4666.089483
