"","R2A_A_D1","R2A_A_D2","R2A_B_D1","R2A_B_D2","R2A_C_D1","R2A_C_D2","SF2_A_D1","SF2_A_D2","SF2_B_D1","SF2_B_D2","SF2_C_D1","SF2_C_D2","R1_A_D1","R1_A_D2","R1_B_D1","R1_B_D2","R1_C_D1","R1_C_D2","R2_A_D1","R2_A_D2","R2_B_D1","R2_B_D2","R2_C_D1","R2_C_D2"
"0",39.11,181.64,192.14,34.7,113.2,5.43,12.67,17.1,128.1,106.25,19.27,61.58,112099.16,118290.67,52525.39,102991.38,98989.36,100513.47,16565.97,8330.97,22218.17,19425.04,28628.41,13578.68
"1",1369.02,647.09,1062.13,271.79,452.78,27.15,158.41,199.52,312.56,318.75,244.1,220.65,44662.19,52188.75,56643.4,59909.62,40459.9,69391.14,77664.79,45411.01,49768.05,92527.9,33229.4,42634.07
"2",0,5.68,5.34,5.78,5.66,0,0,5.7,5.12,5.59,0,0,18.58,4.78,9.75,27.35,49.16,36.02,649.1,3831.07,4923.65,2620.25,2500.84,11798.62
"3",7688.87,817.37,1665.24,75.18,175.45,16.29,272.47,96.91,128.1,173.36,192.71,174.47,53498.92,68486.08,43421.9,44859.73,62545.47,59744.19,11295.49,11841,60544.23,18348.5,63469.77,11095.84
"4",16.76,238.4,480.36,86.74,175.45,27.15,12.67,62.71,102.48,128.62,54.6,92.37,51686.97,45628.72,45166.57,51408.16,57703.65,55792.8,23889.18,24211.71,38315.33,37726.14,37586.3,28244.88
"5",19713.9,5034.8,9388.34,4059.49,1454.56,114.02,90118.18,68344.15,77242.33,80812.66,59071.78,30188.12,4.65,19.11,24.37,10.94,9.83,10.29,11.1,369.2,10.74,47.39,18.42,15.39
"6",134.11,124.88,128.1,34.7,28.3,16.29,0,5.7,46.11,55.92,25.69,41.05,35518.82,38323.35,35468.53,39328.85,46786.21,24629.3,16088.85,16399.76,47743.82,21848.93,38677.82,17810.79
"7",1307.55,192.99,661.83,104.09,124.51,48.87,139.4,131.11,66.61,83.88,224.83,174.47,36025.24,30167.51,27125.29,34219.22,24907.1,53261.44,19628.4,18572.12,33080.26,38951.63,20996.93,28916.89
"8",72.64,39.73,90.73,138.79,28.3,5.43,202.77,433.24,1885.58,1711.21,273,656.82,9.29,9.56,29.24,49.24,54.07,1991.13,246364.75,46823.58,2545.05,30799.75,87.51,31358.69
"9",16.76,17.03,0,5.78,0,0,0,0,10.25,0,0,15.39,120.8,38.22,102.34,60.18,172.04,30.87,11.1,117.71,118.12,74.48,92.11,25.65
"10",3598.57,51.09,186.81,11.57,11.32,27.15,38.02,11.4,40.99,33.55,61.02,41.05,29790.28,48462,23358.16,16745.81,17646.83,24166.25,14219.22,7528.37,24360.52,13832.47,14475.4,52893.74
"11",16.76,136.23,32.02,40.48,11.32,10.86,0,11.4,25.62,16.78,25.69,25.66,39110.19,78533.96,22100.82,78406.06,24209.09,20729.36,338.42,406.65,832.24,36236.59,230.28,4678.41
"12",16.76,39.73,90.73,34.7,33.96,0,6.34,74.11,153.72,100.66,12.85,30.79,15694.25,16182.67,26233.45,19842.23,11359.84,11571.19,22402.34,16330.2,16268.98,11110.66,52351.85,38283.97
"13",346.45,73.79,96.07,34.7,5.66,0,0,17.1,76.86,100.66,22.48,61.58,35648.91,51648.85,19215.77,25548.16,9742.62,10166.6,14441.13,4029.04,6362.62,19993.77,4071.35,17651.77
"14",212.34,187.31,256.19,57.83,62.26,10.86,177.42,74.11,128.1,150.99,86.72,41.05,35212.18,24801.96,13850.17,21521.73,29104.98,24747.64,7683.82,4023.69,11441.98,10690.88,9294.1,8233.39
"15",0,5.68,0,0,5.66,5.43,0,0,0,0,6.42,5.13,157.96,143.34,263.16,49.24,201.54,46.31,55.48,26.75,177.19,13.54,105.93,30.78
"16",19568.62,2548.62,7285.44,2347.8,837.64,43.44,39185.12,29945.1,25009.61,26020.43,27351.85,10586.11,9.29,0,0,0,9.83,20.58,0,224.73,16.11,20.31,9.21,20.52
"17",37857.62,238.4,74.72,5.78,56.6,0,0,0,5.12,16.78,0,10.26,9979.65,17229.02,25512.19,8517.88,10769.97,8309.24,5464.66,2076.05,14196.43,6790.98,14341.84,16179.5
"18",631.43,170.29,597.78,237.09,101.88,0,5709.22,2246.03,1270.72,1420.41,7656.98,703,60.4,90.78,428.86,125.83,103.23,56.6,149.79,358.49,8655.31,433.32,32483.29,487.33
