#OTU_ID	R1_A_D1	R1_A_D2	R1_B_D1	R1_B_D2	R1_C_D1	R1_C_D2	R2A_A_D1	R2A_A_D2	R2A_B_D1	R2A_B_D2	R2A_C_D1	R2A_C_D2	R2_A_D1	R2_A_D2	R2_B_D1	R2_B_D2	R2_C_D1	R2_C_D2	SF2_A_D1	SF2_A_D2	SF2_B_D1	SF2_B_D2	SF2_C_D1	SF2_C_D2
0	24128	24758	10778	18826	20138	19536	7	32	36	6	20	1	2986	1557	4138	2869	6216	2647	2	3	25	19	6	12
1	9613	10923	11623	10951	8231	13487	245	114	199	47	80	5	13999	8487	9269	13666	7215	8311	25	35	61	57	76	43
2	4	1	2	5	10	7	0	1	1	1	1	0	117	716	917	387	543	2300	0	1	1	1	0	0
3	11515	14334	8910	8200	12724	11612	1376	144	312	13	31	3	2036	2213	11276	2710	13781	2163	43	17	25	31	60	34
4	11125	9550	9268	9397	11739	10844	3	42	90	15	31	5	4306	4525	7136	5572	8161	5506	2	11	20	23	17	18
5	1	4	5	2	2	2	3528	887	1759	702	257	21	2	69	2	7	4	3	14222	11989	15075	14451	18392	5883
6	7645	8021	7278	7189	9518	4787	24	22	24	6	5	3	2900	3065	8892	3227	8398	3472	0	1	9	10	8	8
7	7754	6314	5566	6255	5067	10352	234	34	124	18	22	9	3538	3471	6161	5753	4559	5637	22	23	13	15	70	34
8	2	2	6	9	11	387	13	7	17	24	5	1	44407	8751	474	4549	19	6113	32	76	368	306	85	128
9	26	8	21	11	35	6	3	3	0	1	0	0	2	22	22	11	20	5	0	0	2	0	0	3
10	6412	10143	4793	3061	3590	4697	644	9	35	2	2	5	2563	1407	4537	2043	3143	10311	6	2	8	6	19	8
11	8418	16437	4535	14332	4925	4029	3	24	6	7	2	2	61	76	155	5352	50	912	0	2	5	3	8	5
12	3378	3387	5383	3627	2311	2249	3	7	17	6	6	0	4038	3052	3030	1641	11367	7463	1	13	30	18	4	6
13	7673	10810	3943	4670	1982	1976	62	13	18	6	1	0	2603	753	1185	2953	884	3441	0	3	15	18	7	12
14	7579	5191	2842	3934	5921	4810	38	33	48	10	11	2	1385	752	2131	1579	2018	1605	28	13	25	27	27	8
15	34	30	54	9	41	9	0	1	0	0	1	1	10	5	33	2	23	6	0	0	0	0	2	1
16	2	0	0	0	2	4	3502	449	1365	406	148	8	0	42	3	3	2	4	6184	5253	4881	4653	8516	2063
17	2148	3606	5235	1557	2191	1615	6775	42	14	1	10	0	985	388	2644	1003	3114	3154	0	0	1	3	0	2
18	13	19	88	23	21	11	113	30	112	41	18	0	27	67	1612	64	7053	95	901	394	248	254	2384	137
19	1853	2062	1681	2402	2560	2348	0	7	10	1	1	0	4721	2983	2598	3075	2912	4499	1	3	102	58	17	2
20	1362	165	11907	203	6200	5647	3	8	10	3	3	0	642	1170	1873	1367	424	849	4	16	275	203	46	379
21	1	1	1	0	0	1	1181	227	458	413	149	20	1	2	1	0	3	0	6911	6063	4032	3956	7797	1112
22	0	1	1	1	0	1	87	9	185	2616	93	342	0	3	1	0	1	0	1281	2997	5527	4903	7377	5927
23	4	8	1	9	0	15	788	29	34	39	17	4	4	44	5	8	0	21	2217	2580	3280	3312	14336	3957
25	1	0	0	1	0	3	1663	3599	4858	280	10698	8301	4	7	1	4	0	6	9	6	9	5	13	2
26	1	3	0	1	0	1	1113	137	253	249	44	5	0	3	1	0	1	0	5119	6401	3318	3150	7655	1914
27	2697	3215	1355	2977	3083	2245	3	3	4	1	0	1	1597	1590	1726	1024	1574	1677	0	0	2	4	3	7
28	2	4	1	0	1	2	1151	95	196	246	42	22	0	0	0	1	1	1	5466	7492	2670	2666	5408	1470
29	1	1	0	2	3	0	1	0	0	1	1	0	1	2	7	9	0	5	15	640	165	140	155	25388
30	3	9	6	8	11	18	1	1	2	0	0	0	3	4	70	4	3	5	12	79	3395	2664	230	3326
31	5887	2575	1159	937	1585	1949	115	62	34	5	13	0	401	1154	1249	523	1061	500	276	110	154	131	813	130
32	131	116	940	1421	85	1072	116	60	91	11	14	4	1648	3520	741	4291	267	7162	15	31	37	34	61	17
33	572	302	703	93	1593	177	309	12	70	16	5	18	387	337	2727	295	3019	1969	62	60	217	172	224	125
34	353	300	1326	1001	324	892	379	186	204	43	130	9	2328	2995	873	2892	768	5196	29	61	49	44	177	31
35	2119	2466	1658	1372	1579	753	0	2	2	1	0	0	670	282	1211	1076	5135	1800	1	0	1	4	5	7
37	3	4	9	9	5	10	36	240	137	6286	995	153	14	19	30	33	4	20	27	819	583	533	1828	5283
38	2445	2008	961	2122	1430	3856	0	13	7	13	3	0	800	1729	375	1331	40	243	1	6	232	173	15	48
40	2431	2384	1777	2094	1592	1183	0	4	3	2	1	0	1255	480	472	2634	659	1200	0	1	2	2	0	1
41	29	12	245	8	103	343	0	2	5	2	3	0	540	3223	1401	983	905	1857	1	2	11	13	1	11
42	1518	1479	1457	2144	1574	1566	1	10	28	2	7	0	1580	1301	814	1656	960	1771	1	1	41	27	6	24
43	2022	4142	3518	5149	630	726	0	3	0	0	1	1	372	156	325	452	224	347	0	0	4	1	0	2
44	872	724	920	1064	537	593	0	1	2	2	0	1	5070	471	382	1611	2766	2135	0	0	3	2	0	1
