	sequences per sample	iteration	R1_A_D1	R1_A_D2	R1_B_D1	R1_B_D2	R1_C_D1	R1_C_D2	R2A_A_D1	R2A_A_D2	R2A_B_D1	R2A_B_D2	R2A_C_D1	R2A_C_D2	R2_A_D1	R2_A_D2	R2_B_D1	R2_B_D2	R2_C_D1	R2_C_D2	SF2_A_D1	SF2_A_D2	SF2_B_D1	SF2_B_D2	SF2_C_D1	SF2_C_D2
alpha_rarefaction_10_0.txt	10	0	3.397819044	3.503335484	5.05145094	2.949343352	3.216184227	3.937463169	3.486203111	3.24823397	3.859761235	3.164710271	4.316312347	2.743887752	3.323735846	5.71958763	2.795142365	3.334225604	4.351198459	4.547954195	4.085814927	2.973809179	2.710817112	2.929864596	3.352301204	4.353532964
alpha_rarefaction_10_1.txt	10	1	2.562647452	2.740394305	3.997996443	3.117609188	2.977246672	5.08478099	3.496715785	3.158460169	2.859710505	3.527855886	2.456790944	3.168715544	4.708880642	3.801399578	4.225435539	3.928330734	3.4442551	2.539397269	2.414266971	3.805010059	2.723794134	2.967656494	3.804897043	2.573669744
alpha_rarefaction_10_2.txt	10	2	3.842966842	3.191361913	4.996850509	2.447046496	4.693280101	3.705075366	3.77305186	3.563183404	3.017275073	3.15257633	3.761750813	3.702870274	3.666273675	4.45389424	3.475967078	3.361392983	3.794671935	3.575273284	3.653355572	1.926595129	3.296972765	2.512274795	2.57389723	3.496603072
alpha_rarefaction_10_3.txt	10	3	3.413676846	2.677379271	2.820110271	2.662505157	3.38123258	4.083249561	4.238904508	3.362663477	3.3019897	4.759574115	3.647827434	3.584675415	4.266180499	4.02406982	2.948065127	2.768931403	5.501796057	2.522535375	2.281089182	3.045901949	2.481980196	2.708677487	2.998312255	2.67902259
alpha_rarefaction_10_4.txt	10	4	3.146961532	4.037414261	4.167880724	2.722212284	3.863056853	4.38079663	2.961032052	3.649221384	3.114173961	3.072041874	3.537860884	2.823587424	2.80456266	4.691893113	4.497282807	4.566401887	3.121204485	5.034575943	2.72181187	2.442378003	3.648230524	1.875596612	2.785118657	3.280141483
alpha_rarefaction_10_5.txt	10	5	3.170699488	3.533556169	2.544843901	4.121648429	3.303268185	3.194863752	2.640925285	3.596311511	3.235454402	3.77486536	2.804657429	3.177020318	4.586325647	4.55790066	4.282974572	3.065336234	3.845198366	3.925056898	2.429678244	2.572121555	3.265640027	2.135701245	3.420907142	3.867873461
alpha_rarefaction_10_6.txt	10	6	2.96636693	3.484270616	3.172239924	3.775133633	4.006086244	2.644135033	3.646810635	4.072913458	3.999043124	3.621419387	3.623094605	2.593425815	2.803267262	4.39980118	4.739661608	4.386191994	2.697973043	4.445998083	2.725980558	4.497862207	4.576362578	3.090520884	3.212814276	2.440458975
alpha_rarefaction_10_7.txt	10	7	1.886518513	2.66388576	3.084568097	3.58716954	3.22899806	3.807746576	3.599058183	3.693957893	3.329219648	3.19318945	3.500747201	2.777610222	3.369995655	3.627389212	4.210772759	3.171142768	4.041190658	3.185507454	3.245384013	3.186331658	2.683445316	2.390582706	3.040698277	2.870884033
alpha_rarefaction_10_8.txt	10	8	2.522068318	3.627325302	3.242117859	2.547053439	3.997560975	3.657008279	3.51547673	3.300077859	2.580437339	3.239985552	3.387191328	3.155869027	3.177103473	4.465468848	3.765187009	4.88606153	2.816348201	2.576300168	2.539442915	1.914228784	3.95101651	2.899209755	3.30312654	4.669636344
alpha_rarefaction_10_9.txt	10	9	3.886485776	2.398784269	2.898978406	3.891709937	2.806940161	4.581649273	4.012335811	4.840322273	3.301908559	2.745914656	4.544631393	3.400648839	4.758310368	4.576552822	4.233215938	4.168625869	3.456880213	3.400436771	2.345910759	3.129215401	3.500826677	2.773857158	2.657631822	3.237964715
alpha_rarefaction_20064_0.txt	20064	0	91.375899344	88.202531524	112.649015267	106.04424354	106.816484609	105.740680845	151.850974194	199.915140204	203.335963454	201.34421071	193.120774143	138.083339745	121.628044846	177.822125954	147.97171129	135.447431388	123.810352597	130.87113761	213.852694888	201.772827978	229.565491727	228.483203569	255.986611001	205.285264787
alpha_rarefaction_20064_1.txt	20064	1	88.497495557	89.371739021	113.565778205	104.537596515	103.211823237	112.391662779	152.113559343	198.912898409	201.541672818	206.150541717	188.848804541	142.238723832	121.691755562	178.28847452	151.584621991	133.671416029	124.568192821	132.241348037	220.863700404	202.359997816	236.697848113	233.266016937	259.413231544	203.327233058
alpha_rarefaction_20064_2.txt	20064	2	86.970124073	90.137324898	112.011687561	104.522685892	103.41974946	114.52797167	151.947773806	198.519574973	203.090308142	201.515160724	189.046157341	143.077129621	118.642571951	176.056775009	147.389836859	129.759151313	124.678490043	132.207944604	220.011657169	204.208927161	234.434414003	232.476575303	258.69685729	207.047797339
alpha_rarefaction_20064_3.txt	20064	3	91.220748111	91.103664906	114.403787722	103.40060385	101.406458214	112.57207688	155.576544122	199.534164449	205.472875281	202.781410327	193.29765101	143.93935403	124.166541687	175.302767924	148.93625361	137.208720082	127.00344155	130.254637905	218.842456233	207.497182852	226.762709728	227.536987993	256.419502583	207.880826816
alpha_rarefaction_20064_4.txt	20064	4	91.701656355	87.781935961	111.885230435	103.184082736	103.610709282	111.827279455	155.622896456	201.148995142	200.930723798	199.959962231	193.131369995	144.487790915	119.622134416	179.103909461	149.240327628	136.436859046	124.573282911	131.085370251	219.94432152	204.925445034	234.417758397	230.046520876	255.170307367	206.127857948
alpha_rarefaction_20064_5.txt	20064	5	85.356185275	86.177819215	114.425784972	105.656334367	102.632746399	108.958148827	156.641447676	195.296838238	202.506492471	200.743624105	190.156277959	140.937039176	117.641013872	177.612648572	148.336433651	136.955525118	122.500583567	131.385337229	222.177593613	204.33944515	239.271729538	227.16782065	260.895747307	206.569750673
alpha_rarefaction_20064_6.txt	20064	6	89.856921917	90.999893761	113.123882885	106.333294648	106.482698715	112.469685675	154.168595302	195.020981457	203.443314502	204.234841553	195.321014745	142.449273894	122.556713888	176.256045005	150.011931065	134.021782001	125.20317881	131.303272826	225.734274589	200.365870947	231.899807087	234.392700157	263.205337951	208.321903819
alpha_rarefaction_20064_7.txt	20064	7	89.919781993	86.671383688	113.784521255	107.169442019	104.93434496	110.206994259	150.251571108	197.691345725	200.321501874	197.445851871	192.893915265	142.002164497	121.607768212	176.952193426	150.144707236	137.179463992	124.665505498	133.790288481	219.793366922	202.822845538	237.35421247	236.944045736	256.077661207	202.559533076
alpha_rarefaction_20064_8.txt	20064	8	88.986697309	91.91043465	110.845724471	109.94257772	103.364991323	114.592520415	149.560284811	196.749828272	206.353010703	201.370634485	189.894635979	145.363118938	123.630848862	176.501980418	149.745219049	134.652551818	126.37363439	128.900760919	215.956125739	203.147539424	230.582881435	226.601149175	254.274205395	202.904947076
alpha_rarefaction_20064_9.txt	20064	9	87.77493374	90.318012714	115.641410152	108.038426033	107.858806491	108.683828887	153.966312057	199.571570105	206.936027337	201.875190806	191.069394293	143.202701129	121.112435834	179.747635705	149.013655192	134.79637624	123.581851425	129.833139238	214.935553102	205.358936387	237.162518651	233.260604135	254.611553006	207.391200865
alpha_rarefaction_40118_0.txt	40118	0	111.485318567	104.855556468	135.600237131	133.529277814	129.072733791	143.659300753	189.817074124	240.815402544	253.966165592	255.117547395	237.718240928	173.566138432	147.972665732	222.648255288	181.680376203	170.184658545	151.647409247	163.919436376	273.832488723	259.684029496	297.161889572	295.478767712	327.570676726	264.330960287
alpha_rarefaction_40118_1.txt	40118	1	111.518220595	108.864525499	142.783228314	133.520348465	122.901675303	141.201888697	191.548061366	247.997996079	254.165859308	255.468511176	242.88255204	175.619599048	151.186719167	219.04956553	185.448854307	168.788107547	152.033027899	164.394847002	276.638099737	261.868010244	298.784673264	294.167833706	327.198512916	263.981117258
alpha_rarefaction_40118_2.txt	40118	2	109.288729246	108.962091837	133.873527725	134.054604966	129.857265214	141.031703725	186.687079346	244.041139775	255.341544577	253.123889996	241.121592367	173.861560965	149.834460121	218.316946032	181.995415883	166.574821861	147.199120583	161.622037668	274.464461254	255.462953775	295.325331014	295.171852618	333.64273669	266.066976787
alpha_rarefaction_40118_3.txt	40118	3	105.61719694	108.095934754	137.419982579	135.014411868	128.785283588	140.501436221	190.597153834	243.802177622	255.574098727	254.934503295	243.193766214	177.876294827	150.976199105	213.797491967	183.095178113	167.698280923	150.262112647	163.363581048	275.983737793	261.269354578	299.086979455	295.830417398	335.089864673	260.870719595
alpha_rarefaction_40118_4.txt	40118	4	107.486073438	106.146335025	140.997418498	132.899381372	126.040348879	145.323595449	193.361704625	246.910335845	256.216996016	254.401997413	238.863658221	179.533630925	150.348710832	216.378431789	187.151303035	167.192643959	151.034115933	163.469235285	277.147959144	262.309346807	297.258420814	295.246443155	332.960958429	260.508264021
alpha_rarefaction_40118_5.txt	40118	5	104.457484954	105.87032634	142.125038069	132.243781414	125.808799305	136.965132246	192.750440264	243.49744806	257.14084126	252.021837133	238.041067629	176.681594505	151.013664051	223.382278753	185.124581511	165.353873494	149.823629396	162.59500208	274.488932731	255.413173482	294.499304378	292.460573123	326.358387437	264.609609492
alpha_rarefaction_40118_6.txt	40118	6	109.209280159	107.198676404	135.429390633	131.168510936	128.007607916	137.689488027	192.191254343	243.982642631	257.856028924	256.143596254	242.291390727	178.298989648	150.301133377	219.101948999	182.784817297	168.31571364	149.038342896	160.934857988	273.191325683	259.945161391	295.399141931	293.800326031	330.355112188	260.951640928
alpha_rarefaction_40118_7.txt	40118	7	107.621267457	106.864713999	139.954635256	134.051515333	125.882171757	139.612480008	186.68451481	248.15410329	255.391531641	251.710116875	239.474023546	176.04130921	151.644670854	217.242993028	178.391028586	169.863940151	152.466617813	164.454833384	277.994295705	258.43973472	296.818615276	295.022406375	330.931586672	260.224010226
