	sequences per sample	iteration	R1_A_D1	R1_A_D2	R1_B_D1	R1_B_D2	R1_C_D1	R1_C_D2	R2A_A_D1	R2A_A_D2	R2A_B_D1	R2A_B_D2	R2A_C_D1	R2A_C_D2	R2_A_D1	R2_A_D2	R2_B_D1	R2_B_D2	R2_C_D1	R2_C_D2	SF2_A_D1	SF2_A_D2	SF2_B_D1	SF2_B_D2	SF2_C_D1	SF2_C_D2
alpha_rarefaction_10_0.txt	10	0	55.0	55.0	55.0	13.0	23.0	23.0	23.0	55.0	55.0	55.0	55.0	23.0	13.0	55.0	55.0	55.0	23.0	55.0	55.0	23.0	55.0	23.0	55.0	55.0
alpha_rarefaction_10_1.txt	10	1	23.0	13.0	23.0	55.0	23.0	55.0	55.0	55.0	23.0	55.0	23.0	55.0	23.0	55.0	55.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	55.0	13.0
alpha_rarefaction_10_2.txt	10	2	16.0	23.0	55.0	13.0	23.0	23.0	55.0	55.0	55.0	55.0	55.0	13.0	29.0	55.0	55.0	55.0	23.0	23.0	55.0	55.0	55.0	55.0	55.0	23.0
alpha_rarefaction_10_3.txt	10	3	29.0	23.0	23.0	23.0	55.0	23.0	55.0	55.0	55.0	55.0	23.0	55.0	23.0	23.0	55.0	23.0	55.0	13.0	23.0	55.0	55.0	55.0	55.0	29.0
alpha_rarefaction_10_4.txt	10	4	23.0	55.0	13.0	13.0	23.0	23.0	13.0	55.0	55.0	55.0	55.0	23.0	12.0	55.0	55.0	23.0	55.0	55.0	23.0	13.0	55.0	29.0	55.0	55.0
alpha_rarefaction_10_5.txt	10	5	23.0	55.0	23.0	23.0	23.0	55.0	55.0	55.0	55.0	55.0	13.0	55.0	29.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0
alpha_rarefaction_10_6.txt	10	6	23.0	13.0	55.0	55.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0	22.0	55.0	55.0	55.0	9.0	55.0	23.0	55.0	55.0	55.0	23.0	23.0
alpha_rarefaction_10_7.txt	10	7	23.0	23.0	23.0	55.0	55.0	29.0	55.0	55.0	55.0	55.0	55.0	23.0	22.0	23.0	55.0	13.0	55.0	23.0	29.0	55.0	23.0	55.0	55.0	29.0
alpha_rarefaction_10_8.txt	10	8	23.0	13.0	55.0	29.0	55.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0	23.0	13.0	23.0	29.0	23.0	55.0	23.0	55.0	55.0
alpha_rarefaction_10_9.txt	10	9	55.0	13.0	23.0	23.0	13.0	55.0	23.0	55.0	23.0	23.0	23.0	55.0	55.0	55.0	23.0	55.0	23.0	55.0	13.0	55.0	23.0	23.0	23.0	23.0
alpha_rarefaction_20064_0.txt	20064	0	1317.5	1350.31538462	1785.98324022	1654.37804878	1624.6686747	1742.88888889	3442.95945946	4308.00222222	4627.79361702	4152.75311721	4043.66423358	2357.26484018	2073.5739645	3142.12615385	2321.69776119	2251.88259109	1927.46524064	2188.81818182	4886.75675676	4680.69605568	5253.59622642	5248.55645161	6175.89516129	4808.44239631
alpha_rarefaction_20064_1.txt	20064	1	1467.0	1324.64179104	1955.82911392	1687.08333333	1654.64285714	1995.20571429	3388.18771331	4166.37306843	4682.00238663	4451.88888889	3909.47594937	2206.43951613	1978.55555556	3251.80582524	2472.14176245	2360.56944444	1880.52970297	2353.29411765	5283.18120805	5002.08430913	5660.74459725	5476.67169811	6303.53442623	4910.66346154
alpha_rarefaction_20064_2.txt	20064	2	1323.48120301	1386.45238095	1821.60335196	1735.64285714	1604.99350649	1983.00591716	3137.56832298	4369.51597052	4464.67311828	4497.81746032	3812.83571429	2512.69339623	2031.45086705	3299.82206406	2502.99166667	2135.90990991	1844.16580311	2195.81278539	5024.21829522	4898.48591549	5693.89980354	5196.96958175	6414.81016949	4443.00630252
alpha_rarefaction_20064_3.txt	20064	3	1471.33834586	1446.00787402	1786.92265193	1592.87755102	1793.22137405	1958.01796407	3219.39755352	4346.02380952	4559.86016949	4193.44819277	4099.97014925	2486.79310345	1871.37313433	3217.33223684	2528.46	2280.47368421	1983.40983607	2198.88461538	5070.06	4854.59615385	5187.01915709	5289.66537718	6153.98519737	4700.01324503
alpha_rarefaction_20064_4.txt	20064	4	1408.93421053	1372.04098361	1886.90066225	1675.52083333	1710.52083333	2024.55214724	3315.4516129	4462.20631068	4531.03370787	4385.87531172	4160.73934837	2697.66497462	1937.27956989	3153.11214953	2529.00425532	2369.01219512	1810.5	2142.5177665	5141.75	4722.14505495	5647.11363636	5146.7752809	6450.13571429	4648.95032397
alpha_rarefaction_20064_5.txt	20064	5	1429.85840708	1267.12195122	1846.13259669	1583.01754386	1494.30813953	1709.98	3314.94904459	3993.34	4530.595186	4314.09230769	4178.52673797	2369.05	1874.83333333	3198.34285714	2472.57142857	2486.36619718	1792.92268041	2369.3622449	5007.80664062	5010.50471698	5913.38791423	5559.64344262	6356.95652174	4723.29772727
alpha_rarefaction_20064_6.txt	20064	6	1385.53658537	1484.0	1887.0239521	1605.23170732	1661.80813953	1883.72131148	3322.54071661	4018.54545455	4559.26506024	4151.07462687	4021.96181384	2457.53811659	2028.03389831	3239.96258503	2380.95330739	2397.27027027	1739.76681614	2213.98578199	4933.46022727	4673.51363636	5401.34917733	5545.72924901	6158.05371248	4869.78886311
alpha_rarefaction_20064_7.txt	20064	7	1421.79545455	1430.4	1792.53333333	1701.35947712	1667.23602484	1832.24193548	3268.8557377	4223.40540541	4469.4527897	4059.925	4034.61138614	2479.12931034	1941.0505618	3298.62295082	2530.75100402	2456.02816901	1904.37305699	2263.54028436	4975.59163347	4742.60981308	5629.69736842	5413.95900178	6039.1414791	4524.81456954
alpha_rarefaction_20064_8.txt	20064	8	1245.82926829	1328.9921875	1847.5	1647.4125	1691.82781457	2073.61111111	3179.59163987	4215.63875598	4768.07623318	4275.06005222	3930.44416873	2528.18779343	2083.32	3289.6483871	2679.01298701	2170.50980392	1891.91943128	2042.14285714	4466.64	4955.63448276	5300.75285171	5343.38414634	6111.13518198	4723.42388759
alpha_rarefaction_20064_9.txt	20064	9	1330.41911765	1509.3553719	2006.48734177	1769.93835616	1670.68518519	1906.96987952	3361.91233766	4252.66896552	4683.92427617	4439.1505102	4234.5	2381.43965517	1820.44339623	3279.82758621	2386.4981685	2439.51388889	1908.15555556	2227.3880597	4800.65354331	4889.92361111	5625.53932584	5522.40842491	6005.18037975	4548.21598272
alpha_rarefaction_40118_0.txt	40118	0	1773.58433735	1718.40939597	2224.56730769	2105.89162562	2030.08108108	2502.56164384	3995.64578313	5141.62385321	5752.71308725	5468.93604651	4837.64244742	2911.51351351	2380.12916667	4023.20673077	3256.16901408	2863.0483871	2376.67811159	2958.59073359	5975.67057101	6248.05689655	6888.09824047	6704.24255319	7875.2739726	6023.92592593
