	sequences per sample	iteration	R1_A_D1	R1_A_D2	R1_B_D1	R1_B_D2	R1_C_D1	R1_C_D2	R2A_A_D1	R2A_A_D2	R2A_B_D1	R2A_B_D2	R2A_C_D1	R2A_C_D2	R2_A_D1	R2_A_D2	R2_B_D1	R2_B_D2	R2_C_D1	R2_C_D2	SF2_A_D1	SF2_A_D2	SF2_B_D1	SF2_B_D2	SF2_C_D1	SF2_C_D2
alpha_rarefaction_10_0.txt	10	0	10.0	10.0	10.0	8.0	9.0	9.0	9.0	10.0	10.0	10.0	10.0	9.0	8.0	10.0	10.0	10.0	9.0	10.0	10.0	9.0	10.0	9.0	10.0	10.0
alpha_rarefaction_10_1.txt	10	1	9.0	8.0	9.0	10.0	9.0	10.0	10.0	10.0	9.0	10.0	9.0	10.0	9.0	10.0	10.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	10.0	8.0
alpha_rarefaction_10_2.txt	10	2	6.0	9.0	10.0	8.0	9.0	9.0	10.0	10.0	10.0	10.0	10.0	8.0	8.0	10.0	10.0	10.0	9.0	9.0	10.0	10.0	10.0	10.0	10.0	9.0
alpha_rarefaction_10_3.txt	10	3	8.0	9.0	9.0	9.0	10.0	9.0	10.0	10.0	10.0	10.0	9.0	10.0	9.0	9.0	10.0	9.0	10.0	8.0	9.0	10.0	10.0	10.0	10.0	8.0
alpha_rarefaction_10_4.txt	10	4	9.0	10.0	8.0	8.0	9.0	9.0	8.0	10.0	10.0	10.0	10.0	9.0	7.0	10.0	10.0	9.0	10.0	10.0	9.0	8.0	10.0	8.0	10.0	10.0
alpha_rarefaction_10_5.txt	10	5	9.0	10.0	9.0	9.0	9.0	10.0	10.0	10.0	10.0	10.0	8.0	10.0	8.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0
alpha_rarefaction_10_6.txt	10	6	9.0	8.0	10.0	10.0	9.0	10.0	10.0	10.0	10.0	10.0	10.0	9.0	7.0	10.0	10.0	10.0	6.0	10.0	9.0	10.0	10.0	10.0	9.0	9.0
alpha_rarefaction_10_7.txt	10	7	9.0	9.0	9.0	10.0	10.0	8.0	10.0	10.0	10.0	10.0	10.0	9.0	7.0	9.0	10.0	8.0	10.0	9.0	8.0	10.0	9.0	10.0	10.0	8.0
alpha_rarefaction_10_8.txt	10	8	9.0	8.0	10.0	8.0	10.0	9.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	9.0	9.0	8.0	9.0	8.0	9.0	10.0	9.0	10.0	10.0
alpha_rarefaction_10_9.txt	10	9	10.0	8.0	9.0	9.0	8.0	10.0	9.0	10.0	9.0	9.0	9.0	10.0	10.0	10.0	9.0	10.0	9.0	10.0	8.0	10.0	9.0	9.0	9.0	9.0
