	sequences per sample	iteration	R1_A_D1	R1_A_D2	R1_B_D1	R1_B_D2	R1_C_D1	R1_C_D2	R2A_A_D1	R2A_A_D2	R2A_B_D1	R2A_B_D2	R2A_C_D1	R2A_C_D2	R2_A_D1	R2_A_D2	R2_B_D1	R2_B_D2	R2_C_D1	R2_C_D2	SF2_A_D1	SF2_A_D2	SF2_B_D1	SF2_B_D2	SF2_C_D1	SF2_C_D2
alpha_rarefaction_10_0.txt	10	0	3.32192809489	3.32192809489	3.32192809489	2.92192809489	3.12192809489	3.12192809489	3.12192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.12192809489	2.92192809489	3.32192809489	3.32192809489	3.32192809489	3.12192809489	3.32192809489	3.32192809489	3.12192809489	3.32192809489	3.12192809489	3.32192809489	3.32192809489
alpha_rarefaction_10_1.txt	10	1	3.12192809489	2.92192809489	3.12192809489	3.32192809489	3.12192809489	3.32192809489	3.32192809489	3.32192809489	3.12192809489	3.32192809489	3.12192809489	3.32192809489	3.12192809489	3.32192809489	3.32192809489	3.12192809489	3.12192809489	3.12192809489	3.12192809489	3.12192809489	3.12192809489	3.12192809489	3.32192809489	2.92192809489
alpha_rarefaction_10_2.txt	10	2	2.16096404744	3.12192809489	3.32192809489	2.92192809489	3.12192809489	3.12192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	2.92192809489	2.84643934467	3.32192809489	3.32192809489	3.32192809489	3.12192809489	3.12192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.12192809489
alpha_rarefaction_10_3.txt	10	3	2.84643934467	3.12192809489	3.12192809489	3.12192809489	3.32192809489	3.12192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.12192809489	3.32192809489	3.12192809489	3.12192809489	3.32192809489	3.12192809489	3.32192809489	2.92192809489	3.12192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	2.84643934467
alpha_rarefaction_10_4.txt	10	4	3.12192809489	3.32192809489	2.92192809489	2.92192809489	3.12192809489	3.12192809489	2.92192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.12192809489	2.64643934467	3.32192809489	3.32192809489	3.12192809489	3.32192809489	3.32192809489	3.12192809489	2.92192809489	3.32192809489	2.84643934467	3.32192809489	3.32192809489
alpha_rarefaction_10_5.txt	10	5	3.12192809489	3.32192809489	3.12192809489	3.12192809489	3.12192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	2.92192809489	3.32192809489	2.84643934467	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489
alpha_rarefaction_10_6.txt	10	6	3.12192809489	2.92192809489	3.32192809489	3.32192809489	3.12192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.12192809489	2.52192809489	3.32192809489	3.32192809489	3.32192809489	2.32192809489	3.32192809489	3.12192809489	3.32192809489	3.32192809489	3.32192809489	3.12192809489	3.12192809489
alpha_rarefaction_10_7.txt	10	7	3.12192809489	3.12192809489	3.12192809489	3.32192809489	3.32192809489	2.84643934467	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.12192809489	2.52192809489	3.12192809489	3.32192809489	2.92192809489	3.32192809489	3.12192809489	2.84643934467	3.32192809489	3.12192809489	3.32192809489	3.32192809489	2.84643934467
alpha_rarefaction_10_8.txt	10	8	3.12192809489	2.92192809489	3.32192809489	2.84643934467	3.32192809489	3.12192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.12192809489	3.12192809489	2.92192809489	3.12192809489	2.84643934467	3.12192809489	3.32192809489	3.12192809489	3.32192809489	3.32192809489
alpha_rarefaction_10_9.txt	10	9	3.32192809489	2.92192809489	3.12192809489	3.12192809489	2.92192809489	3.32192809489	3.12192809489	3.32192809489	3.12192809489	3.12192809489	3.12192809489	3.32192809489	3.32192809489	3.32192809489	3.12192809489	3.32192809489	3.12192809489	3.32192809489	2.92192809489	3.32192809489	3.12192809489	3.12192809489	3.12192809489	3.12192809489
alpha_rarefaction_20064_0.txt	20064	0	6.55050210845	6.18697286477	7.22563020926	6.63037273211	7.04848836664	7.00314317851	8.86854863288	9.61469371832	9.6509086229	8.89669357688	9.27543983114	7.93258767182	6.51602698211	8.51290388203	8.04450389938	7.63216515692	7.41921048297	7.55068397111	8.82917514078	8.58210694379	9.15748311732	9.12956611516	9.45613658029	8.43249376905
alpha_rarefaction_20064_1.txt	20064	1	6.54368777798	6.18008405976	7.25463584971	6.59902807922	7.07838549512	7.03050529581	8.84975419892	9.64047641099	9.61685749526	8.92363193946	9.25281925547	7.92250628495	6.52923557788	8.52666150186	8.07711082225	7.6344038576	7.40868865536	7.58908082814	8.83069217321	8.62660708196	9.18686554663	9.16604614085	9.44271714869	8.4370858301
