	R1_A_D1	R1_A_D2	R1_B_D1	R1_B_D2	R1_C_D1	R1_C_D2	R2A_A_D1	R2A_A_D2	R2A_B_D1	R2A_B_D2	R2A_C_D1	R2A_C_D2	R2_A_D1	R2_A_D2	R2_B_D1	R2_B_D2	R2_C_D1	R2_C_D2	SF2_A_D1	SF2_A_D2	SF2_B_D1	SF2_B_D2	SF2_C_D1	SF2_C_D2
R1_A_D1	0.0	0.331275037535	0.386679907371	0.401722627985	0.35002988417	0.415607416053	0.801531006201	0.815449093172	0.806959629822	0.827626801171	0.817869392448	0.808156723658	0.468657049282	0.587454142882	0.493585050753	0.476382800104	0.441432956709	0.492272507224	0.83115414924	0.813252664014	0.784921590597	0.789630711005	0.824783966444	0.775321342426
R1_A_D2	0.331275037535	0.0	0.380421104575	0.369388235465	0.379240372234	0.417714043822	0.798606407632	0.810777409855	0.805053555036	0.824654412556	0.814951355324	0.808720554422	0.472012951339	0.574522706682	0.491605597647	0.479264618954	0.432880034918	0.491466596891	0.829361602095	0.811514968797	0.786413576724	0.790192025768	0.821878314596	0.775875627238
R1_B_D1	0.386679907371	0.380421104575	0.0	0.349260332464	0.35707807683	0.368699032178	0.782158468531	0.791173058233	0.780906603593	0.804380892591	0.79648155685	0.794438345168	0.408815715005	0.511700235916	0.39657372347	0.406440571181	0.351819967973	0.42216084638	0.811401122827	0.791264240132	0.756834518195	0.764056584808	0.797757641686	0.747990028248
R1_B_D2	0.401722627985	0.369388235465	0.349260332464	0.0	0.386440427004	0.399670981969	0.781281545522	0.789156932564	0.781148554251	0.805993859045	0.792714733329	0.787581865466	0.425072694669	0.528334910984	0.437775217852	0.430856426857	0.412355222152	0.447313810421	0.81640788051	0.800996058026	0.769054249212	0.773194717033	0.804373609115	0.757972530254
R1_C_D1	0.35002988417	0.379240372234	0.35707807683	0.386440427004	0.0	0.35838204805	0.801812551098	0.805151453839	0.793862537101	0.814442519156	0.808260541593	0.798606439224	0.420364253332	0.523094743213	0.419290206029	0.425288486762	0.40635682955	0.449580866503	0.818886436576	0.798988532451	0.763433029623	0.765482645685	0.806157665783	0.753174666375
R1_C_D2	0.415607416053	0.417714043822	0.368699032178	0.399670981969	0.35838204805	0.0	0.77889255801	0.780985731302	0.770688786286	0.792319810808	0.786425123033	0.782684506493	0.410691219045	0.473019130781	0.412362608954	0.387639399115	0.427129333042	0.430148996039	0.803684039116	0.774727354047	0.732784827668	0.738902586545	0.781362542383	0.723664667076
R2A_A_D1	0.801531006201	0.798606407632	0.782158468531	0.781281545522	0.801812551098	0.77889255801	0.0	0.46125738258	0.448383461644	0.575452279243	0.503639336105	0.624688079488	0.779867302964	0.761676689696	0.777725749956	0.770303625886	0.789986562734	0.763363836921	0.688362336338	0.684806270949	0.723432911307	0.727244158658	0.702788239146	0.714760140111
R2A_A_D2	0.815449093172	0.810777409855	0.791173058233	0.789156932564	0.805151453839	0.780985731302	0.46125738258	0.0	0.395773985103	0.525823431435	0.392848535416	0.56889348847	0.789662505565	0.763351164989	0.779190538074	0.774452314399	0.801407970683	0.773066430456	0.719501220125	0.705088336714	0.735909713802	0.740182185709	0.712669723082	0.732845150873
R2A_B_D1	0.806959629822	0.805053555036	0.780906603593	0.781148554251	0.793862537101	0.770688786286	0.448383461644	0.395773985103	0.0	0.451938762247	0.39426955305	0.572882458965	0.773017488236	0.735751489909	0.763077662118	0.757749173535	0.787020850378	0.755512920435	0.672696195651	0.65600199305	0.694823746566	0.695325171646	0.662953242012	0.684723949772
R2A_B_D2	0.827626801171	0.824654412556	0.804380892591	0.805993859045	0.814442519156	0.792319810808	0.575452279243	0.525823431435	0.451938762247	0.0	0.470135725186	0.504608951918	0.799254542715	0.744810641146	0.7816710855	0.783324331985	0.813064875914	0.779526475204	0.623516191449	0.581393983626	0.627090547198	0.627747485936	0.611474269137	0.607587085358
