	R1_A_D1	R1_A_D2	R1_B_D1	R1_B_D2	R1_C_D1	R1_C_D2	R2A_A_D1	R2A_A_D2	R2A_B_D1	R2A_B_D2	R2A_C_D1	R2A_C_D2	R2_A_D1	R2_A_D2	R2_B_D1	R2_B_D2	R2_C_D1	R2_C_D2	SF2_A_D1	SF2_A_D2	SF2_B_D1	SF2_B_D2	SF2_C_D1	SF2_C_D2
R1_A_D1	0.0	0.120513577799	0.218607894899	0.115931843689	0.177342786499	0.247401794068	0.515643768404	0.580368386866	0.597623220674	0.582914791779	0.601797803002	0.591716975495	0.437611411111	0.476724430984	0.269307675893	0.36717361754	0.270224787418	0.315592999975	0.574342692638	0.54204440724	0.547375642849	0.542301732357	0.573479511262	0.513332933618
R1_A_D2	0.120513577799	0.0	0.277076155056	0.110340329604	0.24124468003	0.311374549186	0.51930100258	0.586655869074	0.600914621093	0.586632461021	0.607882663967	0.599757090707	0.476226296606	0.541756540397	0.328294617841	0.427857001087	0.307798461026	0.360675751245	0.578212492321	0.549231636506	0.603640576023	0.597370466397	0.574318832378	0.567188558152
R1_B_D1	0.218607894899	0.277076155056	0.0	0.232836800028	0.164373868185	0.162882960457	0.550549195114	0.610927366842	0.619219599223	0.604364726054	0.619578710535	0.621224947541	0.451449586867	0.355622257183	0.178554522021	0.280987370554	0.283664459507	0.276741438722	0.608527269959	0.57909860505	0.485387391339	0.50208250975	0.595580140333	0.480970190965
R1_B_D2	0.115931843689	0.110340329604	0.232836800028	0.0	0.226206574471	0.275727893253	0.506901052942	0.561122694562	0.57474586725	0.566977790188	0.580605569521	0.576190203097	0.416516659067	0.494652352286	0.302640597842	0.365038289521	0.278908529226	0.316965224452	0.564487690154	0.535498135339	0.575540641848	0.569448067924	0.557765087429	0.536638701796
R1_C_D1	0.177342786499	0.24124468003	0.164373868185	0.226206574471	0.0	0.161498613849	0.570148062927	0.630239007015	0.646268783956	0.630865281767	0.648159541203	0.639420775624	0.49102215785	0.392255381118	0.186776293222	0.324968614789	0.28848711878	0.346777338947	0.620838313437	0.594343807757	0.507969585076	0.525004930822	0.620307451187	0.481553118426
R1_C_D2	0.247401794068	0.311374549186	0.162882960457	0.275727893253	0.161498613849	0.0	0.559909337826	0.600769951212	0.61469767317	0.625590379993	0.62074320045	0.631160611075	0.471932075231	0.335219642355	0.22715450992	0.265418060995	0.365809587611	0.32927472773	0.611987508802	0.580143442615	0.495893700244	0.51346669214	0.609501718991	0.498909383925
R2A_A_D1	0.515643768404	0.51930100258	0.550549195114	0.506901052942	0.570148062927	0.559909337826	0.0	0.250281283837	0.227626253319	0.414041465274	0.336131810506	0.425693383226	0.607551902036	0.615363243078	0.533826185359	0.566342704284	0.535433888447	0.533986510322	0.411287027743	0.380240512717	0.495074214962	0.4831873301	0.41300198732	0.540765363667
R2A_A_D2	0.580368386866	0.586655869074	0.610927366842	0.561122694562	0.630239007015	0.600769951212	0.250281283837	0.0	0.147087273441	0.365591606451	0.190627631852	0.37307332105	0.607477652029	0.61491942112	0.592687199721	0.566691735666	0.593695225842	0.574552180017	0.397148463759	0.372873545995	0.482537741471	0.470917146524	0.405502599904	0.544232441139
R2A_B_D1	0.597623220674	0.600914621093	0.619219599223	0.57474586725	0.646268783956	0.61469767317	0.227626253319	0.147087273441	0.0	0.37696510579	0.220448811625	0.383619120252	0.618692273859	0.616324628038	0.599240996765	0.564197425058	0.600739715717	0.586447033674	0.387010620062	0.360943039013	0.467568835288	0.454597122676	0.388052545755	0.546082994046
R2A_B_D2	0.582914791779	0.586632461021	0.604364726054	0.566977790188	0.630865281767	0.625590379993	0.414041465274	0.365591606451	0.37696510579	0.0	0.309399284611	0.268918394313	0.596151328223	0.568779482154	0.576097593083	0.569797785963	0.562182242539	0.562984231978	0.330953686856	0.299792232089	0.362340248051	0.35284881392	0.303083477301	0.391876050656
