	R1_A_D1	R1_A_D2	R1_B_D1	R1_B_D2	R1_C_D1	R1_C_D2	R2A_A_D1	R2A_A_D2	R2A_B_D1	R2A_B_D2	R2A_C_D1	R2A_C_D2	R2_A_D1	R2_A_D2	R2_B_D1	R2_B_D2	R2_C_D1	R2_C_D2	SF2_A_D1	SF2_A_D2	SF2_B_D1	SF2_B_D2	SF2_C_D1	SF2_C_D2
R1_A_D1	0.0	0.182024881148	0.333030052259	0.259564190432	0.242190104209	0.294469969112	0.954317289544	0.981560035223	0.975005266388	0.992315150817	0.987902495736	0.994941541398	0.598433768532	0.61422471557	0.439033508265	0.506254542974	0.516973503591	0.549952856087	0.988018594903	0.986709140954	0.947641419765	0.953781701452	0.975702501968	0.965062689839
R1_A_D2	0.182024881148	0.0	0.343186822621	0.208065868308	0.290332667501	0.32419700828	0.942451511062	0.980706498876	0.973547150078	0.992515973643	0.987350562184	0.995545786552	0.615948847039	0.66099746915	0.46233525956	0.520481760476	0.498039900506	0.554934148636	0.987764020393	0.986670479291	0.96083312855	0.964139176892	0.976829219756	0.970724108917
R1_B_D1	0.333030052259	0.343186822621	0.0	0.284718371227	0.286979030868	0.297852128512	0.932963935922	0.978014424706	0.968736256024	0.990250176734	0.984842283743	0.993626594571	0.533566643435	0.57931545792	0.335084790865	0.428989459699	0.412908981944	0.477249428839	0.983736135878	0.980834350514	0.941780473597	0.946713232929	0.968629796824	0.953378223883
R1_B_D2	0.259564190432	0.208065868308	0.284718371227	0.0	0.299506091046	0.304254335673	0.950790302012	0.977457256717	0.968747365027	0.990975096695	0.98423835093	0.994631714895	0.541763754344	0.601431526645	0.442360076065	0.443496623809	0.504604209563	0.532267584232	0.986619063658	0.984470928133	0.95318996802	0.95625219985	0.975582657696	0.966758002611
R1_C_D1	0.242190104209	0.290332667501	0.286979030868	0.299506091046	0.0	0.238168965701	0.953480108379	0.980761318125	0.973699751773	0.991248237424	0.986197397798	0.993858359333	0.574180636725	0.580097796376	0.349842428667	0.46736299497	0.443712180081	0.536852883745	0.986358199079	0.983238715843	0.940891623795	0.945403585262	0.97125857676	0.954912906867
R1_C_D2	0.294469969112	0.32419700828	0.297852128512	0.304254335673	0.238168965701	0.0	0.951281454575	0.975091125465	0.967352523844	0.987049183233	0.982206593407	0.991727656748	0.540893087426	0.553784976834	0.38470017032	0.388007300001	0.52100526783	0.531195582719	0.982997211459	0.976557959152	0.930002736499	0.93569715434	0.964653133325	0.937997160285
R2A_A_D1	0.954317289544	0.942451511062	0.932963935922	0.950790302012	0.953480108379	0.951281454575	0.0	0.589793865624	0.489553669054	0.871326408506	0.789681776574	0.935611129232	0.954910793608	0.942354403559	0.939907608903	0.941901769247	0.945083626417	0.933363190764	0.770577251387	0.780287500939	0.811481356566	0.806563083672	0.809359295916	0.856435437356
R2A_A_D2	0.981560035223	0.980706498876	0.978014424706	0.977457256717	0.980761318125	0.975091125465	0.589793865624	0.0	0.43257029534	0.804304725208	0.543749905183	0.808171369814	0.97884064019	0.967116889983	0.973593317001	0.969520072865	0.979681014783	0.974167830554	0.907200639379	0.903864924393	0.923695817709	0.923428069515	0.910009605736	0.932371401217
R2A_B_D1	0.975005266388	0.973547150078	0.968736256024	0.968747365027	0.973699751773	0.967352523844	0.489553669054	0.43257029534	0.0	0.815494017498	0.618105413175	0.87058139137	0.970920077421	0.955891187225	0.963650815191	0.96086282858	0.970045583788	0.964072197098	0.858375417143	0.860607524788	0.883176120288	0.880718586086	0.869869524794	0.90449926617
R2A_B_D2	0.992315150817	0.992515973643	0.990250176734	0.990975096695	0.991248237424	0.987049183233	0.871326408506	0.804304725208	0.815494017498	0.0	0.712442585512	0.680239761061	0.989932245318	0.976436995655	0.984472587596	0.982748257306	0.991590083957	0.987565081634	0.893336821675	0.840748175466	0.859704246898	0.858431779	0.862675764125	0.791243281416
R2A_C_D1	0.987902495736	0.987350562184	0.984842283743	0.98423835093	0.986197397798	0.982206593407	0.789681776574	0.543749905183	0.618105413175	0.712442585512	0.0	0.590045544262	0.984622607983	0.973817396918	0.98167748327	0.978753505079	0.98635736477	0.982031267374	0.930966735774	0.909697172408	0.923937511147	0.924033362053	0.915017600011	0.919122156353
R2A_C_D2	0.994941541398	0.995545786552	0.993626594571	0.994631714895	0.993858359333	0.991727656748	0.935611129232	0.808171369814	0.87058139137	0.680239761061	0.590045544262	0.0	0.993587028544	0.985576994269	0.990952631686	0.990183125727	0.994552393845	0.99184748309	0.959858574017	0.935043580902	0.929914595936	0.932259068695	0.931456900113	0.911261151465
