"","s.Historic","s.Restored","s.Salt_Pond","index","stat","p.value"
"0",0,0,1,3,0.648900950096605,0.004
"1",0,0,1,3,0.905745367070859,1e-04
"2",0,0,1,3,0.497900970400268,0.0272
"3",0,0,1,3,0.747882259277831,8e-04
"4",0,0,1,3,0.811594765818916,2e-04
"5",0,1,0,2,0.792785117932726,1e-04
"6",0,0,1,3,0.802664495645841,2e-04
"7",0,0,1,3,0.849403881203958,2e-04
"8",0,0,1,3,0.291841898044142,0.5365
"9",0,0,1,3,0.647644238276118,0.0023
"10",0,0,1,3,0.747998445974809,5e-04
"11",0,0,1,3,0.554879925988334,0.0178
"12",0,0,1,3,0.755005443771525,1e-04
"13",0,0,1,3,0.610727508517815,0.0047
"14",0,0,1,3,0.662611200225321,0.0019
"15",0,0,1,3,0.654706831880179,0.0037
"16",0,1,0,2,0.736588091452957,1e-04
"17",0,0,1,3,0.528205733200529,0.0339
"18",0,1,1,6,0.288727800850866,0.3709
"19",0,0,1,3,0.910249763699774,1e-04
"20",0,0,1,3,0.509184113438171,0.0269
"21",0,1,0,2,0.677009159763991,1e-04
"22",0,1,0,2,0.664580206432861,0.0039
"23",0,1,0,2,0.857543549102752,1e-04
"25",1,0,0,1,0.480904216910459,1e-04
"26",0,1,0,2,0.755608069624994,1e-04
"27",0,0,1,3,0.784741606701115,3e-04
"28",0,1,0,2,0.690484703631096,1e-04
"29",0,1,0,2,0.355762868852104,1e-04
"30",0,1,0,2,0.627326595505418,1e-04
"31",0,0,1,3,0.459439906491792,0.0235
"32",0,0,1,3,0.628168284539322,0.0054
"33",0,0,1,3,0.552030521300239,0.0138
"34",0,0,1,3,0.723589492774912,8e-04
"35",0,0,1,3,0.692526544341403,8e-04
"37",1,0,0,1,0.306780281700182,0.3435
"38",0,0,1,3,0.683978344673021,0.0018
"40",0,0,1,3,0.759538740778397,2e-04
"41",0,0,1,3,0.67050701445977,0.0014
"42",0,0,1,3,0.862001691512458,1e-04
"43",0,0,1,3,0.545420332094032,0.0191
"44",0,0,1,3,0.646481175909622,8e-04
"45",0,0,1,3,0.611811378471912,0.0022
"46",0,1,0,2,0.752336935683324,1e-04
"47",0,1,1,6,0.36764904272378,0.1686
"48",0,0,1,3,0.723909492521661,9e-04
"49",1,1,0,4,0.573048256951837,0.0123
"50",0,1,0,2,0.446914638059226,0.0686
"51",0,1,0,2,0.521791646008706,0.0246
"52",0,1,0,2,0.751318668400766,1e-04
"53",0,0,1,3,0.653148849685764,0.0034
"54",0,0,1,3,0.720779886133138,9e-04
"55",0,0,1,3,0.609721951789841,0.0024
"56",0,1,0,2,0.764381659575056,1e-04
