from	to	eweight	consensus_lin	BarcodeSequence	LinkerPrimerSequence	Treatment	DOB
R1_A_D1	0	30931.22927		NA	NA	Salt_Pond	D1
R1_A_D1	1	12323.52068		NA	NA	Salt_Pond	D1
R1_A_D1	10	8219.953666		NA	NA	Salt_Pond	D1
R1_A_D1	100	523.0413437		NA	NA	Salt_Pond	D1
R1_A_D1	1004	7.691784466		NA	NA	Salt_Pond	D1
R1_A_D1	1005	129.4783718		NA	NA	Salt_Pond	D1
R1_A_D1	1007	1.281964078		NA	NA	Salt_Pond	D1
R1_A_D1	101	299.9795942		NA	NA	Salt_Pond	D1
R1_A_D1	1010	65.38016796		NA	NA	Salt_Pond	D1
R1_A_D1	1011	26.92124563		NA	NA	Salt_Pond	D1
R1_A_D1	1013	24.35731748		NA	NA	Salt_Pond	D1
R1_A_D1	1014	2.563928155		NA	NA	Salt_Pond	D1
R1_A_D1	1017	5.127856311		NA	NA	Salt_Pond	D1
R1_A_D1	1019	20.51142524		NA	NA	Salt_Pond	D1
R1_A_D1	102	266.6485282		NA	NA	Salt_Pond	D1
R1_A_D1	1022	1.281964078		NA	NA	Salt_Pond	D1
R1_A_D1	1023	1.281964078		NA	NA	Salt_Pond	D1
R1_A_D1	1027	2.563928155		NA	NA	Salt_Pond	D1
R1_A_D1	1028	70.50802427		NA	NA	Salt_Pond	D1
R1_A_D1	1029	1.281964078		NA	NA	Salt_Pond	D1
R1_A_D1	1031	21.79338932		NA	NA	Salt_Pond	D1
R1_A_D1	1032	1.281964078		NA	NA	Salt_Pond	D1
R1_A_D1	1033	12.81964078		NA	NA	Salt_Pond	D1
R1_A_D1	1035	102.5571262		NA	NA	Salt_Pond	D1
R1_A_D1	1036	11.5376767		NA	NA	Salt_Pond	D1
R1_A_D1	1037	2.563928155		NA	NA	Salt_Pond	D1
R1_A_D1	1038	1.281964078		NA	NA	Salt_Pond	D1
R1_A_D1	104	20.51142524		NA	NA	Salt_Pond	D1
R1_A_D1	1040	10.25571262		NA	NA	Salt_Pond	D1
R1_A_D1	1042	19.22946116		NA	NA	Salt_Pond	D1
R1_A_D1	1046	2.563928155		NA	NA	Salt_Pond	D1
R1_A_D1	1049	56.40641942		NA	NA	Salt_Pond	D1
R1_A_D1	105	2.563928155		NA	NA	Salt_Pond	D1
R1_A_D1	1056	62.81623981		NA	NA	Salt_Pond	D1
R1_A_D1	1059	75.63588058		NA	NA	Salt_Pond	D1
R1_A_D1	1060	8.973748544		NA	NA	Salt_Pond	D1
R1_A_D1	1062	83.32766505		NA	NA	Salt_Pond	D1
R1_A_D1	1064	170.5012223		NA	NA	Salt_Pond	D1
R1_A_D1	1065	16.66553301		NA	NA	Salt_Pond	D1
R1_A_D1	1066	23.0753534		NA	NA	Salt_Pond	D1
R1_A_D1	1068	1.281964078		NA	NA	Salt_Pond	D1
R1_A_D1	107	248.7010311		NA	NA	Salt_Pond	D1
R1_A_D1	1071	23.0753534		NA	NA	Salt_Pond	D1
R1_A_D1	1073	3.845892233		NA	NA	Salt_Pond	D1
R1_A_D1	1074	1.281964078		NA	NA	Salt_Pond	D1
R1_A_D1	1078	142.2980126		NA	NA	Salt_Pond	D1
R1_A_D1	1079	60.25231165		NA	NA	Salt_Pond	D1
R1_A_D1	1083	2.563928155		NA	NA	Salt_Pond	D1
R1_A_D1	1085	417.9202893		NA	NA	Salt_Pond	D1
R1_A_D1	1088	26.92124563		NA	NA	Salt_Pond	D1
R1_A_D1	109	1.281964078		NA	NA	Salt_Pond	D1
R1_A_D1	1092	3.845892233		NA	NA	Salt_Pond	D1
R1_A_D1	1093	15.38356893		NA	NA	Salt_Pond	D1
