node_name	node_disp_name	ntype	degree	weighted_degree	consensus_lin	BarcodeSequence	LinkerPrimerSequence	Treatment	DOB
0		otu_node	24	126517.133022		otu	otu	otu	otu
1		otu_node	24	95634.3166604		otu	otu	otu	otu
10		otu_node	24	44480.3544974		otu	otu	otu	otu
100		otu_node	24	8020.60872696		otu	otu	otu	otu
1000		otu_node	9	1204.8469478		otu	otu	otu	otu
1001		otu_node	9	1257.22409596		otu	otu	otu	otu
1002		otu_node	12	896.576327576		otu	otu	otu	otu
1003		otu_node	10	898.696174826		otu	otu	otu	otu
1004		otu_node	16	296.213918803		otu	otu	otu	otu
1005		otu_node	12	524.649504817		otu	otu	otu	otu
1006		otu_node	9	199.433570653		otu	otu	otu	otu
1007		otu_node	18	414.908490081		otu	otu	otu	otu
1008		otu_node	13	1054.02537284		otu	otu	otu	otu
1009		otu_node	12	1061.15560992		otu	otu	otu	otu
101		otu_node	24	4799.83789636		otu	otu	otu	otu
1010		otu_node	13	450.434986583		otu	otu	otu	otu
1011		otu_node	13	291.486656994		otu	otu	otu	otu
1012		otu_node	6	1023.62217267		otu	otu	otu	otu
1013		otu_node	16	470.296990925		otu	otu	otu	otu
1014		otu_node	14	126.739806354		otu	otu	otu	otu
1015		otu_node	11	1311.16107044		otu	otu	otu	otu
1016		otu_node	6	1266.17435933		otu	otu	otu	otu
1017		otu_node	23	500.620075741		otu	otu	otu	otu
1018		otu_node	11	1104.17566512		otu	otu	otu	otu
1019		otu_node	14	475.751645563		otu	otu	otu	otu
102		otu_node	24	5887.76244403		otu	otu	otu	otu
1020		otu_node	7	525.652212814		otu	otu	otu	otu
1021		otu_node	19	1559.47867801		otu	otu	otu	otu
1022		otu_node	17	956.019157948		otu	otu	otu	otu
1023		otu_node	23	971.102884648		otu	otu	otu	otu
1024		otu_node	12	808.185578223		otu	otu	otu	otu
1025		otu_node	11	735.713220818		otu	otu	otu	otu
1026		otu_node	12	1076.82613572		otu	otu	otu	otu
1027		otu_node	19	1051.61257215		otu	otu	otu	otu
1028		otu_node	13	510.826826452		otu	otu	otu	otu
1029		otu_node	12	982.027814013		otu	otu	otu	otu
103		otu_node	13	11104.5564835		otu	otu	otu	otu
1030		otu_node	7	1576.9287923		otu	otu	otu	otu
1031		otu_node	21	550.305333272		otu	otu	otu	otu
1032		otu_node	11	550.125693979		otu	otu	otu	otu
1033		otu_node	14	381.214836222		otu	otu	otu	otu
1034		otu_node	6	775.60339834		otu	otu	otu	otu
1035		otu_node	13	418.902188873		otu	otu	otu	otu
1036		otu_node	14	467.463529092		otu	otu	otu	otu
1037		otu_node	12	483.31646205		otu	otu	otu	otu
1038		otu_node	19	409.331816765		otu	otu	otu	otu
1039		otu_node	12	1214.49803911		otu	otu	otu	otu
104		otu_node	23	18315.1528264		otu	otu	otu	otu
1040		otu_node	14	312.211318341		otu	otu	otu	otu
1041		otu_node	7	873.272257827		otu	otu	otu	otu
1042		otu_node	13	366.955331068		otu	otu	otu	otu
1043		otu_node	12	5002.15104955		otu	otu	otu	otu
1044		otu_node	9	851.474185519		otu	otu	otu	otu
1045		otu_node	12	790.243371069		otu	otu	otu	otu
1046		otu_node	13	244.361525842		otu	otu	otu	otu
1047		otu_node	9	972.189649096		otu	otu	otu	otu
1048		otu_node	8	5225.02424932		otu	otu	otu	otu
1049		otu_node	13	447.497974443		otu	otu	otu	otu
105		otu_node	22	10874.0698572		otu	otu	otu	otu
1050		otu_node	13	520.134936798		otu	otu	otu	otu
1051		otu_node	10	775.181174658		otu	otu	otu	otu
1052		otu_node	4	412.90118062		otu	otu	otu	otu
1053		otu_node	14	836.816048022		otu	otu	otu	otu
1054		otu_node	10	1318.87106362		otu	otu	otu	otu
1055		otu_node	9	1290.66631323		otu	otu	otu	otu
1056		otu_node	17	471.621627016		otu	otu	otu	otu
1057		otu_node	7	61.061236449		otu	otu	otu	otu
1058		otu_node	12	888.151890492		otu	otu	otu	otu
1059		otu_node	22	503.98302209		otu	otu	otu	otu
106		otu_node	19	10693.32366		otu	otu	otu	otu
1060		otu_node	23	531.88335688		otu	otu	otu	otu
1061		otu_node	6	935.2557006		otu	otu	otu	otu
1062		otu_node	13	535.8605363		otu	otu	otu	otu
1063		otu_node	11	2085.77812923		otu	otu	otu	otu
1064		otu_node	16	565.00501231		otu	otu	otu	otu
1065		otu_node	16	408.886738717		otu	otu	otu	otu
1066		otu_node	22	489.969982789		otu	otu	otu	otu
1067		otu_node	10	965.300923581		otu	otu	otu	otu
1068		otu_node	7	1020.70095245		otu	otu	otu	otu
1069		otu_node	15	483.591269563		otu	otu	otu	otu
107		otu_node	19	5217.79781165		otu	otu	otu	otu
1070		otu_node	12	971.020468269		otu	otu	otu	otu
1071		otu_node	14	448.331272131		otu	otu	otu	otu
1072		otu_node	8	875.63778095		otu	otu	otu	otu
1073		otu_node	15	373.09392506		otu	otu	otu	otu
1074		otu_node	19	267.41646804		otu	otu	otu	otu
1075		otu_node	9	775.318764205		otu	otu	otu	otu
1076		otu_node	12	646.523367866		otu	otu	otu	otu
1077		otu_node	9	667.997553623		otu	otu	otu	otu
1078		otu_node	18	605.161886815		otu	otu	otu	otu
1079		otu_node	18	561.226884945		otu	otu	otu	otu
108		otu_node	8	70021.5438961		otu	otu	otu	otu
1080		otu_node	10	2438.58276234		otu	otu	otu	otu
1081		otu_node	5	4273.55368588		otu	otu	otu	otu
1082		otu_node	5	573.3274929		otu	otu	otu	otu
1083		otu_node	23	522.827224847		otu	otu	otu	otu
1084		otu_node	9	727.823264543		otu	otu	otu	otu
1085		otu_node	14	648.167641504		otu	otu	otu	otu
1086		otu_node	11	2777.25781671		otu	otu	otu	otu
1087		otu_node	14	459.640187342		otu	otu	otu	otu
1088		otu_node	16	534.751672639		otu	otu	otu	otu
1089		otu_node	12	600.445799679		otu	otu	otu	otu
109		otu_node	17	2008.2634381		otu	otu	otu	otu
1090		otu_node	7	676.459540624		otu	otu	otu	otu
1091		otu_node	9	944.286838689		otu	otu	otu	otu
1092		otu_node	18	413.45816475		otu	otu	otu	otu
1093		otu_node	18	458.653122831		otu	otu	otu	otu
1094		otu_node	7	1179.28139001		otu	otu	otu	otu
1095		otu_node	8	1302.13625516		otu	otu	otu	otu
1096		otu_node	6	1917.07936709		otu	otu	otu	otu
1097		otu_node	9	615.689311733		otu	otu	otu	otu
1098		otu_node	11	354.863841543		otu	otu	otu	otu
1099		otu_node	14	851.197074636		otu	otu	otu	otu
11		otu_node	23	55797.6104498		otu	otu	otu	otu
110		otu_node	24	7819.01630118		otu	otu	otu	otu
1100		otu_node	5	497.277832804		otu	otu	otu	otu
1101		otu_node	11	927.765863068		otu	otu	otu	otu
1102		otu_node	16	374.968690025		otu	otu	otu	otu
1103		otu_node	6	747.78159173		otu	otu	otu	otu
1104		otu_node	6	683.77271612		otu	otu	otu	otu
1105		otu_node	18	441.254642762		otu	otu	otu	otu
1106		otu_node	10	576.620617668		otu	otu	otu	otu
1107		otu_node	22	3330.75924333		otu	otu	otu	otu
1108		otu_node	11	997.670493409		otu	otu	otu	otu
1109		otu_node	13	263.384422954		otu	otu	otu	otu
111		otu_node	7	69014.5533047		otu	otu	otu	otu
1110		otu_node	6	1203.35288815		otu	otu	otu	otu
1111		otu_node	17	396.444035006		otu	otu	otu	otu
1113		otu_node	15	1151.55642075		otu	otu	otu	otu
1114		otu_node	23	471.063345308		otu	otu	otu	otu
1115		otu_node	12	2563.95020741		otu	otu	otu	otu
1116		otu_node	17	398.958017741		otu	otu	otu	otu
1117		otu_node	21	561.048263799		otu	otu	otu	otu
1118		otu_node	19	521.783397917		otu	otu	otu	otu
1119		otu_node	6	815.776316201		otu	otu	otu	otu
112		otu_node	14	4726.14173325		otu	otu	otu	otu
1120		otu_node	11	1030.71994259		otu	otu	otu	otu
1121		otu_node	15	429.62703897		otu	otu	otu	otu
1122		otu_node	8	836.724995729		otu	otu	otu	otu
1123		otu_node	7	898.26494786		otu	otu	otu	otu
1124		otu_node	18	303.826361546		otu	otu	otu	otu
1125		otu_node	11	996.902852566		otu	otu	otu	otu
1126		otu_node	21	589.082228028		otu	otu	otu	otu
1127		otu_node	12	656.930399551		otu	otu	otu	otu
1128		otu_node	15	496.685143275		otu	otu	otu	otu
